collection,link
"Landscape with the Ruins of the Castle of Egmond, 1650/55, Jacob van Ruisdael",https://www.artic.edu/artworks/60755/landscape-with-the-ruins-of-the-castle-of-egmond
"The Combat of the Giaour and Hassan, 1826, Eugène Delacroix",https://www.artic.edu/artworks/110663/the-combat-of-the-giaour-and-hassan
"Lady Sarah Bunbury Sacrificing to the Graces, 1763–65, Sir Joshua Reynolds",https://www.artic.edu/artworks/4788/lady-sarah-bunbury-sacrificing-to-the-graces
"Forest and Sun, 1927, Max Ernst",https://www.artic.edu/artworks/185760/forest-and-sun
"Karttikeya, Commander of the Divine Army, Seated on a Peacock, Ganga Period, about 12th century",https://www.artic.edu/artworks/13853/karttikeya-commander-of-the-divine-army-seated-on-a-peacock
"The Two Disciples at the Tomb, c. 1906, Henry Ossawa Tanner",https://www.artic.edu/artworks/87643/the-two-disciples-at-the-tomb
"Incense Burner in the Form of a Duck, Song dynasty (960–1279), 12th century",https://www.artic.edu/artworks/43060/incense-burner-in-the-form-of-a-duck
"Hyères, France, 1932, printed 1930/39, Henri Cartier-Bresson",https://www.artic.edu/artworks/50148/hyeres-france
"Two Women’s Torsos, 1952, Willem de Kooning",https://www.artic.edu/artworks/83889/two-women-s-torsos
"“Untitled”, 1989, Felix Gonzalez-Torres",https://www.artic.edu/artworks/159824/untitled
"Statue of the Madonna in the Mountains, 1804, Caspar David Friedrich",https://www.artic.edu/artworks/50276/statue-of-the-madonna-in-the-mountains
"The Artist’s Mother, 1926 or 1936, Arshile Gorky",https://www.artic.edu/artworks/23684/the-artist-s-mother
"King Vulture, 1734, Johann Joachim Kändler",https://www.artic.edu/artworks/189715/king-vulture
"The Creation of Adam, c. 1642, Giovanni Benedetto Castiglione",https://www.artic.edu/artworks/105073/the-creation-of-adam
"Bust of Paris, 1809, Antonio Canova",https://www.artic.edu/artworks/102591/bust-of-paris
"Head of an Apostle, About 1210",https://www.artic.edu/artworks/50909/head-of-an-apostle
"The Freedman, 1862–63, John Quincy Adams Ward",https://www.artic.edu/artworks/149776/the-freedman
"Untitled (Butterfly Habitat), c. 1940, Joseph Cornell",https://www.artic.edu/artworks/99766/untitled-butterfly-habitat
"Near the Lagoon, 2002, Jasper Johns",https://www.artic.edu/artworks/184095/near-the-lagoon
"Silver Sun, 1929, Arthur Dove",https://www.artic.edu/artworks/65868/silver-sun
"Maharana Bhim Singh in Procession, c. 1820, Ghasi",https://www.artic.edu/artworks/49195/maharana-bhim-singh-in-procession
"Portrait of Jean Gros, 1460/64, Rogier van der Weyden",https://www.artic.edu/artworks/16298/portrait-of-jean-gros
"The Bronco Buster, Modeled 1895, cast 1899, Frederic Remington",https://www.artic.edu/artworks/97916/the-bronco-buster
"Still Life with Geranium, 1906, Henri Matisse",https://www.artic.edu/artworks/87045/still-life-with-geranium
